Comment,Designator,Footprint,LCSC,Quantity
22u,"C15,C8",C_1206_3216Metric,C12891,2
2.2u,"L1,L2,L3,L4,L5",L_Cenker_CKCS4020,C135262,5
10n,"C4,C5,C6,C7",C_0805_2012Metric,C15195,4
4.7u,"C14,C2",C_0402_1005Metric,C1569,2
10u,"C1,C10,C11,C13,C9",C_0805_2012Metric,C15850,5
10u,C12,C_0805_2012Metric,C1634,1
USB_C_Receptacle_PowerOnly_6P,J1,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,C168701,1
1.2k,R35,R_0805_2012Metric,C17379,1
220k,R15,R_0805_2012Metric,C17556,1
22k,"R10,R11,R8",R_0805_2012Metric,C17560,3
2k,R5,R_0805_2012Metric,C17604,1
470,R6,R_0805_2012Metric,C17710,1
51k,"R16,R34",R_0805_2012Metric,C17737,2
300,R3,R_1206_3216Metric,C17887,1
100,"R18,R26",R_1206_3216Metric,C17901,2
10k,"R36,R37,R38,R9",R_1206_3216Metric,C17902,4
10,"R19,R20,R22,R24,R25",R_1206_3216Metric,C17903,5
AP62300WU,U8,TSOT-23-6,C1880390,1
BZT52C3V0S,"D1,D2",D_SOD-323,C19077436,2
1,"R1,R12,R13,R30,R31,R32,R33,R39,R40,R41,R42,R43,R44",R_0603_1608Metric,C22936,13
2M,R14,R_0603_1608Metric,C22976,1
2,"R17,R23",R_0201_0603Metric,C22977,2
4.7,R21,R_0603_1608Metric,C23164,1
3.3k,R4,R_0805_2012Metric,C26010,1
TPS62743YFPT,U7,Texas_DSBGA-8_0.705x1.468mm_Layout2x4_P0.4mm,C374070,1
1k,R7,R_1206_3216Metric,C4410,1
10,"R2,R27,R28,R29",R_1206_3216Metric,C47019,4
DRV8833PWPR,"U4,U5",TSSOP-16_4.4x5mm_P0.65mm,C50506,2
1u,C3,C_0402_1005Metric,C52923,1
MCP73831-3-MC,U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,C635038,1
INA219AxDCN,U1,SOT-23-8,C87469,1
TPS61023DRLR,U6,SOT-563,C919459,1
TIP41C,"Q1,Q2,Q3",TO-220-3_Vertical,C92603,3
CH224K,U3,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
