Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,191.05,-78.4,0.0,top
C10,10u,C_0805_2012Metric,190.85,-71.0,0.0,top
C11,10u,C_0805_2012Metric,190.85,-74.8,0.0,top
C12,10u,C_0805_2012Metric,190.988,-82.0,0.0,top
C13,10u,C_0805_2012Metric,161.0,-92.0,180.0,top
C14,4.7u,C_0402_1005Metric,174.502,-88.228,0.0,top
C15,22u,C_1206_3216Metric,195.525,-70.45,0.0,top
C2,4.7u,C_0402_1005Metric,190.72,-103.6,0.0,top
C3,1u,C_0402_1005Metric,166.02,-79.5,0.0,top
C4,10n,C_0805_2012Metric,168.05,-101.0,0.0,top
C5,10n,C_0805_2012Metric,168.2,-97.4,0.0,top
C6,10n,C_0805_2012Metric,167.0,-74.0,0.0,top
C7,10n,C_0805_2012Metric,167.05,-70.5,0.0,top
C8,22u,C_1206_3216Metric,186.4,-71.2,0.0,top
C9,10u,C_0805_2012Metric,191.25,-89.75,0.0,top
D1,BZT52C3V0S,D_SOD-323,198.2,-67.15,-90.0,top
D2,BZT52C3V0S,D_SOD-323,168.75,-88.8,0.0,top
J1,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,160.5,-105.9,0.0,top
L1,2.2u,L_Cenker_CKCS4020,165.65,-92.4,180.0,top
L2,2.2u,L_Cenker_CKCS4020,185.85,-92.25,0.0,top
L3,2.2u,L_Cenker_CKCS4020,180.075,-85.941,0.0,top
L4,2.2u,L_Cenker_CKCS4020,179.901,-92.164,0.0,top
L5,2.2u,L_Cenker_CKCS4020,185.743,-85.814,0.0,top
Q1,TIP41C,TO-220-3_Vertical,195.2,-104.74,-90.0,top
Q2,TIP41C,TO-220-3_Vertical,195.255,-82.2,-90.0,top
Q3,TIP41C,TO-220-3_Vertical,195.2,-93.54,-90.0,top
R1,1,R_0603_1608Metric,183.575,-74.6,0.0,top
R10,22k,R_0805_2012Metric,156.6945,-89.0,0.0,top
R11,22k,R_0805_2012Metric,156.5875,-81.868,0.0,top
R12,1,R_0603_1608Metric,156.681,-95.031,0.0,top
R13,1,R_0603_1608Metric,156.636,-73.198,0.0,top
R14,2M,R_0603_1608Metric,191.175,-93.5,0.0,top
R15,220k,R_0805_2012Metric,191.3375,-97.0,0.0,top
R16,51k,R_0805_2012Metric,187.0195,-97.127,0.0,top
R17,2,R_0201_0603Metric,166.455,-77.2,0.0,top
R18,100,R_1206_3216Metric,180.3375,-104.6,0.0,top
R19,10,R_1206_3216Metric,180.4,-100.8,0.0,top
R2,10,R_1206_3216Metric,195.6,-73.6,180.0,top
R20,10,R_1206_3216Metric,179.2,-81.2,0.0,top
R21,4.7,R_0603_1608Metric,186.975,-74.6,0.0,top
R22,10,R_1206_3216Metric,161.6,-88.2,180.0,top
R23,2,R_0201_0603Metric,169.0,-78.0,-90.0,top
R24,10,R_1206_3216Metric,180.5125,-108.5,0.0,top
R25,4.7,R_0603_1608Metric,185.4025,-108.5,0.0,top
R26,100,R_1206_3216Metric,190.2875,-108.5,0.0,top
R27,10,R_1206_3216Metric,172.0,-75.0,0.0,top
R28,10,R_1206_3216Metric,171.92,-71.0,0.0,top
R29,10,R_1206_3216Metric,177.0,-71.0,0.0,top
R3,300,R_1206_3216Metric,173.9625,-85.0,0.0,top
R30,1,R_0603_1608Metric,183.4,-77.6,0.0,top
R31,1,R_0603_1608Metric,187.0,-77.6,0.0,top
R32,1,R_0603_1608Metric,186.75,-81.25,0.0,top
R33,1,R_0603_1608Metric,183.5,-81.25,0.0,top
R34,51k,R_0805_2012Metric,183.0055,-97.25,0.0,top
R35,1.2k,R_0805_2012Metric,179.0875,-97.25,0.0,top
R36,10k,R_1206_3216Metric,174.1375,-81.4,0.0,top
R37,10k,R_1206_3216Metric,174.5,-97.5,180.0,top
R38,10k,R_1206_3216Metric,185.5375,-104.6,180.0,top
R39,1,R_0603_1608Metric,156.554,-98.206,0.0,top
R4,3.3k,R_0805_2012Metric,181.4,-70.8,0.0,top
R40,1,R_0603_1608Metric,156.681,-92.237,0.0,top
R41,1,R_0603_1608Metric,156.554,-101.254,0.0,top
R42,1,R_0603_1608Metric,156.699,-75.992,0.0,top
R43,1,R_0603_1608Metric,156.636,-70.404,0.0,top
R44,1,R_0603_1608Metric,156.763,-78.659,0.0,top
R5,2k,R_0805_2012Metric,173.0875,-109.75,0.0,top
R6,470,R_0805_2012Metric,168.0875,-104.5,0.0,top
R7,1k,R_1206_3216Metric,168.0375,-85.5,0.0,top
R8,22k,R_0805_2012Metric,156.6945,-85.522,0.0,top
R9,10k,R_1206_3216Metric,168.0375,-81.424,0.0,top
U1,INA219AxDCN,SOT-23-8,176.8,-75.6,0.0,top
U2,MCP73831-3-MC,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,168.45,-108.825,90.0,top
U3,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,162.0,-82.8625,90.0,top
U4,DRV8833PWPR,TSSOP-16_4.4x5mm_P0.65mm,162.25,-99.25,0.0,top
U5,DRV8833PWPR,TSSOP-16_4.4x5mm_P0.65mm,161.725,-73.6375,-90.0,top
U6,TPS61023DRLR,SOT-563,190.7875,-101.5,0.0,top
U7,TPS62743YFPT,Texas_DSBGA-8_0.705x1.468mm_Layout2x4_P0.4mm,191.15,-85.3,90.0,top
U8,AP62300WU,TSOT-23-6,174.6625,-91.85,0.0,top
